SIC Code,Description
1110,"Growing of cereals (except rice), leguminous crops and oil seeds"
1120,Growing of rice
1130,"Growing of vegetables and melons, roots and tubers"
1140,Growing of sugar cane
1150,Growing of tobacco
1160,Growing of fibre crops
1190,Growing of other non-perennial crops
1210,Growing of grapes
1220,Growing of tropical and subtropical fruits
1230,Growing of citrus fruits
1240,Growing of pome fruits and stone fruits
1250,Growing of other tree and bush fruits and nuts
1260,Growing of oleaginous fruits
1270,Growing of beverage crops
1280,"Growing of spices, aromatic, drug and pharmaceutical crops"
1290,Growing of other perennial crops
1300,Plant propagation
1410,Raising of dairy cattle
1420,Raising of other cattle and buffaloes
1430,Raising of horses and other equines
1440,Raising of camels and camelids
1450,Raising of sheep and  goats
1460,Raising of swine/pigs
1470,Raising of poultry
1490,Raising of other animals
1500,Mixed farming
1610,Support activities for crop production
1621,Farm animal boarding and care
1629,Support activities for animal production (other than farm animal boarding and care) n.e.c.
1630,Post-harvest crop activities
1640,Seed processing for propagation
1700,"Hunting, trapping and related service activities"
2100,Silviculture and other forestry activities
2200,Logging
2300,Gathering of wild growing non-wood products
2400,Support services to forestry
3110,Marine fishing
3120,Freshwater fishing
3210,Marine aquaculture
3220,Freshwater aquaculture
5101,Deep coal mines
5102,Open cast coal working
5200,Mining of lignite
6100,Extraction of crude petroleum
6200,Extraction of natural gas
7100,Mining of iron ores
7210,Mining of uranium and thorium ores
7290,Mining of other non-ferrous metal ores
8110,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
8120,Operation of gravel and sand pits; mining of clays and kaolin
8910,Mining of chemical and fertilizer minerals
8920,Extraction of peat
8930,Extraction of salt
8990,Other mining and quarrying n.e.c.
9100,Support activities for petroleum and natural gas extraction
9900,Support activities for other mining and quarrying
10110,Processing and preserving of meat
10120,Processing and preserving of poultry meat
10130,Production of meat and poultry meat products
10200,"Processing and preserving of fish, crustaceans and molluscs"
10310,Processing and preserving of potatoes
10320,Manufacture of fruit and vegetable juice
10390,Other processing and preserving of fruit and vegetables
10410,Manufacture of oils and fats
10420,Manufacture of margarine and similar edible fats
10511,Liquid milk and cream production
10512,Butter and cheese production
10519,Manufacture of other milk products
10520,Manufacture of ice cream
10611,Grain milling
10612,Manufacture of breakfast cereals and cereals-based food
10620,Manufacture of starches and starch products
10710,Manufacture of bread; manufacture of fresh pastry goods and cakes
10720,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
10730,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
10810,Manufacture of sugar
10821,Manufacture of cocoa and chocolate confectionery
10822,Manufacture of sugar confectionery
10831,Tea processing
10832,Production of coffee and coffee substitutes
10840,Manufacture of condiments and seasonings
10850,Manufacture of prepared meals and dishes
10860,Manufacture of homogenized food preparations and dietetic food
10890,Manufacture of other food products n.e.c.
10910,Manufacture of prepared feeds for farm animals
10920,Manufacture of prepared pet foods
11010,"Distilling, rectifying and blending of spirits"
11020,Manufacture of wine from grape
11030,Manufacture of cider and other fruit wines
11040,Manufacture of other non-distilled fermented beverages
11050,Manufacture of beer
11060,Manufacture of malt
11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
12000,Manufacture of tobacco products
13100,Preparation and spinning of textile fibres
13200,Weaving of textiles
13300,Finishing of textiles
13910,Manufacture of knitted and crocheted fabrics
13921,Manufacture of soft furnishings
13922,"manufacture of canvas goods, sacks, etc."
13923,manufacture of household textiles
13931,Manufacture of woven or tufted carpets and rugs
